,Domain,Sub Domain,Product Title,Product Link,Review Content,Image,Aspect_1,Label_1,Cause_1,Aspect_2,Label_2,Cause_2,Aspect_3,Label_3,Cause_3,Aspect_4,Label_4,Cause_4,Aspect_5,Label_5,Cause_5,Over All label,Summary
7,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Purchased this product after lot of hesitation since I was using Samsung Galaxy S22+ for last 1 year. God! I am in love with this product. It's awesome all rounder phone & somewhat now my S22+ is sidelined. Comparison directly with S22+ : 1. Display: OP11 is more eye friendly & cherry on top is Dolby vision support so you are gonna enjoy multimedia consumption more on OP 11 than S22+ 2. Camera: S22+ will get a score of 10 but OP11 will bag 9 ( as front supports only 1080p). 3 Battery: OP 11 is clear winner you can rely on it as a daily driver with 100W charging support you don't have to worry for recharge. Recharges within 20 minutes when battery falls at 20%. 4. Performance: top notch is with OP 11 & OP 11 is clear winner 5. UI: Samsung is clear winner in this department. I would rate 10 while OP 11 will bag 9 for UI. 6. Value for money: OP 11 7. 5G & 4G network reception: OP 11 is way better than S22+ Call quality is clear on both in outdoor condition. 8. Speaker: OP 11 has more loud, clear & immersive speaker system. 9. IP rating: Samsung is clear winner 10. Wireless charging: Samsung has an edge but you will not feel it's loss since it is well supplemented by 100 W charger in the box. 11. Haptic feedback: OP 11 has clear advantage Conclusion: This is my first product of OnePlus after using Samsung S20FE 5G & S22+ & I am satisfied with this product. If you are planning to buy new phone & you have budget of 50-60K then you can consider it as a reliable phone & I would suggest opt for 16GB 256GB RAM variant since it comes with UFS 4.0 which will secure it's performance for 4 years atleast. Direct competitor of OP 11 are S22+ S23/S23+ iPhone 13/14 & Pixel 7 As a user I find pixel & iPhone have compromises in lacking telephoto lens & charging speed. I consider these features very useful especially when you are outdoor & clicking portrait of DSLR level.",https://m.media-amazon.com/images/I/81RBI0wOaBL._SY88.jpg,Display,0,OP11 is more eye friendly & cherry on top is Dolby vision support so you are gonna enjoy multimedia consumption more on OP 11 than S22+,Speaker,0,"OP 11 has more loud, clear & immersive speaker system.",Battery,0.0,OP 11 is clear winner you can rely on it as a daily driver with 100W charging support you don't have to worry for recharge. Recharges within 20 minutes when battery falls at 20%,Product_Quality,0.0,top notch is with OP 11 & OP 11 is clear winner,,,,0,
7,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Purchased this product after lot of hesitation since I was using Samsung Galaxy S22+ for last 1 year. God! I am in love with this product. It's awesome all rounder phone & somewhat now my S22+ is sidelined. Comparison directly with S22+ : 1. Display: OP11 is more eye friendly & cherry on top is Dolby vision support so you are gonna enjoy multimedia consumption more on OP 11 than S22+ 2. Camera: S22+ will get a score of 10 but OP11 will bag 9 ( as front supports only 1080p). 3 Battery: OP 11 is clear winner you can rely on it as a daily driver with 100W charging support you don't have to worry for recharge. Recharges within 20 minutes when battery falls at 20%. 4. Performance: top notch is with OP 11 & OP 11 is clear winner 5. UI: Samsung is clear winner in this department. I would rate 10 while OP 11 will bag 9 for UI. 6. Value for money: OP 11 7. 5G & 4G network reception: OP 11 is way better than S22+ Call quality is clear on both in outdoor condition. 8. Speaker: OP 11 has more loud, clear & immersive speaker system. 9. IP rating: Samsung is clear winner 10. Wireless charging: Samsung has an edge but you will not feel it's loss since it is well supplemented by 100 W charger in the box. 11. Haptic feedback: OP 11 has clear advantage Conclusion: This is my first product of OnePlus after using Samsung S20FE 5G & S22+ & I am satisfied with this product. If you are planning to buy new phone & you have budget of 50-60K then you can consider it as a reliable phone & I would suggest opt for 16GB 256GB RAM variant since it comes with UFS 4.0 which will secure it's performance for 4 years atleast. Direct competitor of OP 11 are S22+ S23/S23+ iPhone 13/14 & Pixel 7 As a user I find pixel & iPhone have compromises in lacking telephoto lens & charging speed. I consider these features very useful especially when you are outdoor & clicking portrait of DSLR level.",https://m.media-amazon.com/images/I/81gyAsaeMXL._SY88.jpg,Display,0,OP11 is more eye friendly & cherry on top is Dolby vision support so you are gonna enjoy multimedia consumption more on OP 11 than S22+,Speaker,0,"OP 11 has more loud, clear & immersive speaker system.",Battery,0.0,OP 11 is clear winner you can rely on it as a daily driver with 100W charging support you don't have to worry for recharge. Recharges within 20 minutes when battery falls at 20%,Product_Quality,0.0,top notch is with OP 11 & OP 11 is clear winner,,,,0,
8,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Purchased this product after lot of hesitation since I was using Samsung Galaxy S22+ for last 1 year. God! I am in love with this product. It's awesome all rounder phone & somewhat now my S22+ is sidelined. Comparison directly with S22+ : 1. Display: OP11 is more eye friendly & cherry on top is Dolby vision support so you are gonna enjoy multimedia consumption more on OP 11 than S22+ 2. Camera: S22+ will get a score of 10 but OP11 will bag 9 ( as front supports only 1080p). 3 Battery: OP 11 is clear winner you can rely on it as a daily driver with 100W charging support you don't have to worry for recharge. Recharges within 20 minutes when battery falls at 20%. 4. Performance: top notch is with OP 11 & OP 11 is clear winner 5. UI: Samsung is clear winner in this department. I would rate 10 while OP 11 will bag 9 for UI. 6. Value for money: OP 11 7. 5G & 4G network reception: OP 11 is way better than S22+ Call quality is clear on both in outdoor condition. 8. Speaker: OP 11 has more loud, clear & immersive speaker system. 9. IP rating: Samsung is clear winner 10. Wireless charging: Samsung has an edge but you will not feel it's loss since it is well supplemented by 100 W charger in the box. 11. Haptic feedback: OP 11 has clear advantage Conclusion: This is my first product of OnePlus after using Samsung S20FE 5G & S22+ & I am satisfied with this product. If you are planning to buy new phone & you have budget of 50-60K then you can consider it as a reliable phone & I would suggest opt for 16GB 256GB RAM variant since it comes with UFS 4.0 which will secure it's performance for 4 years atleast. Direct competitor of OP 11 are S22+ S23/S23+ iPhone 13/14 & Pixel 7 As a user I find pixel & iPhone have compromises in lacking telephoto lens & charging speed. I consider these features very useful especially when you are outdoor & clicking portrait of DSLR level.",https://m.media-amazon.com/images/I/81RBI0wOaBL._SY88.jpg,Feedback,0,OP 11 has clear advantage,Network,0,OP 11 is way better than S22+ Call quality is clear on both in outdoor condition.,Charging,0.0,Samsung has an edge but you will not feel it's loss since it is well supplemented by 100 W charger in the box,User_Interface,0.0,Samsung is clear winner in this department. I would rate 10 while OP 11 will bag 9 for UI,,,,0,
8,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Purchased this product after lot of hesitation since I was using Samsung Galaxy S22+ for last 1 year. God! I am in love with this product. It's awesome all rounder phone & somewhat now my S22+ is sidelined. Comparison directly with S22+ : 1. Display: OP11 is more eye friendly & cherry on top is Dolby vision support so you are gonna enjoy multimedia consumption more on OP 11 than S22+ 2. Camera: S22+ will get a score of 10 but OP11 will bag 9 ( as front supports only 1080p). 3 Battery: OP 11 is clear winner you can rely on it as a daily driver with 100W charging support you don't have to worry for recharge. Recharges within 20 minutes when battery falls at 20%. 4. Performance: top notch is with OP 11 & OP 11 is clear winner 5. UI: Samsung is clear winner in this department. I would rate 10 while OP 11 will bag 9 for UI. 6. Value for money: OP 11 7. 5G & 4G network reception: OP 11 is way better than S22+ Call quality is clear on both in outdoor condition. 8. Speaker: OP 11 has more loud, clear & immersive speaker system. 9. IP rating: Samsung is clear winner 10. Wireless charging: Samsung has an edge but you will not feel it's loss since it is well supplemented by 100 W charger in the box. 11. Haptic feedback: OP 11 has clear advantage Conclusion: This is my first product of OnePlus after using Samsung S20FE 5G & S22+ & I am satisfied with this product. If you are planning to buy new phone & you have budget of 50-60K then you can consider it as a reliable phone & I would suggest opt for 16GB 256GB RAM variant since it comes with UFS 4.0 which will secure it's performance for 4 years atleast. Direct competitor of OP 11 are S22+ S23/S23+ iPhone 13/14 & Pixel 7 As a user I find pixel & iPhone have compromises in lacking telephoto lens & charging speed. I consider these features very useful especially when you are outdoor & clicking portrait of DSLR level.",https://m.media-amazon.com/images/I/81gyAsaeMXL._SY88.jpg,Feedback,0,OP 11 has clear advantage,Network,0,OP 11 is way better than S22+ Call quality is clear on both in outdoor condition.,Charging,0.0,Samsung has an edge but you will not feel it's loss since it is well supplemented by 100 W charger in the box,User_Interface,0.0,Samsung is clear winner in this department. I would rate 10 while OP 11 will bag 9 for UI,,,,0,
9,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Good camera quality, good battery backup, premium feel , super snappy performance, little issues with software, must buy",https://m.media-amazon.com/images/I/715qnGnDxnL._SY88.jpg,Camera,0,Good camera quality,Battery,0,good battery backup,Product_Quality,0.0,super snappy performance,Software,1.0,little issues with software,Feedback,0.0,must buy,1,
9,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Good camera quality, good battery backup, premium feel , super snappy performance, little issues with software, must buy",https://m.media-amazon.com/images/I/71QIxxT9n0L._SY88.jpg,Camera,0,Good camera quality,Battery,0,good battery backup,Product_Quality,0.0,super snappy performance,Software,1.0,little issues with software,Feedback,0.0,must buy,1,
9,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Good camera quality, good battery backup, premium feel , super snappy performance, little issues with software, must buy",https://m.media-amazon.com/images/I/81BaWoEbTjL._SY88.jpg,Camera,0,Good camera quality,Battery,0,good battery backup,Product_Quality,0.0,super snappy performance,Software,1.0,little issues with software,Feedback,0.0,must buy,1,
10,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,One of the best phone. Can't complain about anything running 200+ apps including some of powerfull games very smooth. Best phone in the segment. Watch a movie from Netflix in OnePlus 11 with One plus buds 2 pro. You can get theatrical experience. Worth for every penny. Never settle!,https://m.media-amazon.com/images/I/71CY5x7yAZL._SY88.jpg,Product_Quality,0,One of the best phone. Can't complain about anything running 200+ apps including some of powerfull games very smooth. Best phone in the segment. Watch a movie from Netflix in OnePlus 11 with One plus buds 2 pro. You can get theatrical experience. Worth for every penny. Never settle!,,,,,,,,,,,,,0,
10,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,One of the best phone. Can't complain about anything running 200+ apps including some of powerfull games very smooth. Best phone in the segment. Watch a movie from Netflix in OnePlus 11 with One plus buds 2 pro. You can get theatrical experience. Worth for every penny. Never settle!,https://m.media-amazon.com/images/I/71gSlJ-giAL._SY88.jpg,Product_Quality,0,One of the best phone. Can't complain about anything running 200+ apps including some of powerfull games very smooth. Best phone in the segment. Watch a movie from Netflix in OnePlus 11 with One plus buds 2 pro. You can get theatrical experience. Worth for every penny. Never settle!,,,,,,,,,,,,,0,
11,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"As an avid tech enthusiast, I was thrilled to get my hands on the new OnePlus 11 5G. And let me tell you, it did not disappoint. First of all, the design of this phone is sleek and modern, with a large 6.7-inch display that makes everything from streaming videos to scrolling through social media a joy. Plus, the 120Hz refresh rate ensures smooth and seamless performance. But what really impressed me was the camera. The OnePlus 11 5G boasts a triple-lens rear camera with a whopping 108MP primary sensor, making it one of the most powerful camera setups on the market. And let me tell you, the photos I took with this phone were absolutely stunning. The battery life is also impressive, lasting all day with heavy use, and the fast charging feature means you can get back to full power in no time. And with 5G capabilities, this phone is future-proofed and ready for whatever comes next. Overall, I highly recommend the OnePlus 11 5G for anyone in the market for a new phone. It's a powerful and stylish device that is sure to impress. In terms of performance, the OnePlus 11 5G is a true powerhouse. With its Qualcomm Snapdragon 8 Gen 1 processor and up to 16GB of RAM, this phone is capable of handling even the most demanding tasks with ease. Apps open quickly, multitasking is a breeze, and gaming is incredibly smooth and responsive. the OnePlus 11 5G is an outstanding phone that truly delivers on all fronts. If you're in the market for a new smartphone and want the very best in design, performance, and camera technology, then look no further than the OnePlus 11 5G. It's a true masterpiece that is sure to impress even the most discerning tech enthusiast.",https://m.media-amazon.com/images/I/51s-CRCQkKL._SY88.jpg,Product_Quality,0,"In terms of performance, the OnePlus 11 5G is a true powerhouse. With its Qualcomm Snapdragon 8 Gen 1 processor and up to 16GB of RAM, this phone is capable of handling even the most demanding tasks with ease. Apps open quickly, multitasking is a breeze, and gaming is incredibly smooth and responsive.",Performance,0,"Plus, the 120Hz refresh rate ensures smooth and seamless performance. 
 And with 5G capabilities, this phone is future-proofed and ready for whatever comes next. Overall, I highly recommend the OnePlus 11 5G for anyone in the market for a new phone. It's a powerful and stylish device that is sure to impress.",Camera,0.0,"But what really impressed me was the camera. The OnePlus 11 5G boasts a triple-lens rear camera with a whopping 108MP primary sensor, making it one of the most powerful camera setups on the market. And let me tell you, the photos I took with this phone were absolutely stunning.",Battery,0.0,"The battery life is also impressive, lasting all day with heavy use, and the fast charging feature means you can get back to full power in no time.",Display,0.0,"First of all, the design of this phone is sleek and modern, with a large 6.7-inch display that makes everything from streaming videos to scrolling through social media a joy.",0,
11,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"As an avid tech enthusiast, I was thrilled to get my hands on the new OnePlus 11 5G. And let me tell you, it did not disappoint. First of all, the design of this phone is sleek and modern, with a large 6.7-inch display that makes everything from streaming videos to scrolling through social media a joy. Plus, the 120Hz refresh rate ensures smooth and seamless performance. But what really impressed me was the camera. The OnePlus 11 5G boasts a triple-lens rear camera with a whopping 108MP primary sensor, making it one of the most powerful camera setups on the market. And let me tell you, the photos I took with this phone were absolutely stunning. The battery life is also impressive, lasting all day with heavy use, and the fast charging feature means you can get back to full power in no time. And with 5G capabilities, this phone is future-proofed and ready for whatever comes next. Overall, I highly recommend the OnePlus 11 5G for anyone in the market for a new phone. It's a powerful and stylish device that is sure to impress. In terms of performance, the OnePlus 11 5G is a true powerhouse. With its Qualcomm Snapdragon 8 Gen 1 processor and up to 16GB of RAM, this phone is capable of handling even the most demanding tasks with ease. Apps open quickly, multitasking is a breeze, and gaming is incredibly smooth and responsive. the OnePlus 11 5G is an outstanding phone that truly delivers on all fronts. If you're in the market for a new smartphone and want the very best in design, performance, and camera technology, then look no further than the OnePlus 11 5G. It's a true masterpiece that is sure to impress even the most discerning tech enthusiast.",https://m.media-amazon.com/images/I/61hUslqw4JL._SY88.jpg,Product_Quality,0,"In terms of performance, the OnePlus 11 5G is a true powerhouse. With its Qualcomm Snapdragon 8 Gen 1 processor and up to 16GB of RAM, this phone is capable of handling even the most demanding tasks with ease. Apps open quickly, multitasking is a breeze, and gaming is incredibly smooth and responsive.",Performance,0,"Plus, the 120Hz refresh rate ensures smooth and seamless performance. 
 And with 5G capabilities, this phone is future-proofed and ready for whatever comes next. Overall, I highly recommend the OnePlus 11 5G for anyone in the market for a new phone. It's a powerful and stylish device that is sure to impress.",Camera,0.0,"But what really impressed me was the camera. The OnePlus 11 5G boasts a triple-lens rear camera with a whopping 108MP primary sensor, making it one of the most powerful camera setups on the market. And let me tell you, the photos I took with this phone were absolutely stunning.",Battery,0.0,"The battery life is also impressive, lasting all day with heavy use, and the fast charging feature means you can get back to full power in no time.",Display,0.0,"First of all, the design of this phone is sleek and modern, with a large 6.7-inch display that makes everything from streaming videos to scrolling through social media a joy.",0,
12,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Writing this review after 2 weeks of use. + Topclass performance - blazing fast + Insane battery charging speed - 15 mins flat from 30 to 95% + Fantastic battery back up + Pretty competent camera + Gorgeous screen + Size is just perfect And marble Odyssey feel is just unlike anything I have used so far Have used Samsung flagships all my life, used iPhone 12 for an year inbetween. This is a brilliant phone, with exchange I got this for 46k ..absolute no brainer vs S23 series.",https://m.media-amazon.com/images/I/61SxVYWWvhL._SY88.jpg,Display,0,Gorgeous screen,Battery,0,Fantastic battery back up,Camera,0.0,Pretty competent camera,Performance,0.0,blazing fast,Battery,0.0,15 mins flat from 30 to 95%,0,
12,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Writing this review after 2 weeks of use. + Topclass performance - blazing fast + Insane battery charging speed - 15 mins flat from 30 to 95% + Fantastic battery back up + Pretty competent camera + Gorgeous screen + Size is just perfect And marble Odyssey feel is just unlike anything I have used so far Have used Samsung flagships all my life, used iPhone 12 for an year inbetween. This is a brilliant phone, with exchange I got this for 46k ..absolute no brainer vs S23 series.",https://m.media-amazon.com/images/I/813J14wytyL._SY88.jpg,Display,0,Gorgeous screen,Battery,0,Fantastic battery back up,Camera,0.0,Pretty competent camera,Performance,0.0,blazing fast,Battery,0.0,15 mins flat from 30 to 95%,0,
12,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Writing this review after 2 weeks of use. + Topclass performance - blazing fast + Insane battery charging speed - 15 mins flat from 30 to 95% + Fantastic battery back up + Pretty competent camera + Gorgeous screen + Size is just perfect And marble Odyssey feel is just unlike anything I have used so far Have used Samsung flagships all my life, used iPhone 12 for an year inbetween. This is a brilliant phone, with exchange I got this for 46k ..absolute no brainer vs S23 series.",https://m.media-amazon.com/images/I/91lTEH+DzzL._SY88.jpg,Display,0,Gorgeous screen,Battery,0,Fantastic battery back up,Camera,0.0,Pretty competent camera,Performance,0.0,blazing fast,Battery,0.0,15 mins flat from 30 to 95%,0,
12,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"Writing this review after 2 weeks of use. + Topclass performance - blazing fast + Insane battery charging speed - 15 mins flat from 30 to 95% + Fantastic battery back up + Pretty competent camera + Gorgeous screen + Size is just perfect And marble Odyssey feel is just unlike anything I have used so far Have used Samsung flagships all my life, used iPhone 12 for an year inbetween. This is a brilliant phone, with exchange I got this for 46k ..absolute no brainer vs S23 series.",https://m.media-amazon.com/images/I/91py6S-wgQL._SY88.jpg,Display,0,Gorgeous screen,Battery,0,Fantastic battery back up,Camera,0.0,Pretty competent camera,Performance,0.0,blazing fast,Battery,0.0,15 mins flat from 30 to 95%,0,
